Sequencia,Unidade Curricular,Carga horária (h/a)
0,LÍNGUA ESTRANGEIRA MODERNA-INGLÊS 1,40
1,EDUCAÇÃO FÍSICA 1,40
2,ARTE,40
3,HISTÓRIA 1,40
4,GEOGRAFIA 1,40
5,FILOSOFIA 1,20
6,SOCIOLOGIA 1,20
7,MATEMÁTICA 1,80
8,FÍSICA 1,60
9,QUÍMICA 1,60
10,BIOLOGIA 1,40
11,INFORMÁTICA BÁSICA,40
12,SOLOS,60
13,AGRICULTURA GERAL,60
14,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA 2 60h/a,45
15,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 2 40 h/a,30
16,LÍNGUA ESTRANGEIRA MODERNA – INGLÊS 2,40
17,EDUCAÇÃO FÍSICA 2,40
18,HISTÓRIA 2,40
19,GEOGRAFIA 2,40
20,FILOSOFIA 2,20
21,SOCIOLOGIA 2,20
22,MATEMÁTICA 2,60
23,FÍSICA 2,60
24,QUÍMICA 2,60
25,BIOLOGIA 2,40
26,CLIMATOLOGIA,60
27,FISIOLOGIA VEGETAL,80
28,MANEJO E CONSERVAÇÃO DE SOLO E ÁGUA,60
29,LÍNGUA PORTUGUESA E LITERATURA BRASILEIRA,60
30,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 3,40
31,EDUCAÇÃO FÍSICA 3,40
32,HISTÓRIA 3,40
33,GEOGRAFIA 3,40
34,FILOSOFIA 3,20
35,SOCIOLOGIA 3,20
36,MATEMÁTICA 3,60
37,FÍSICA 3,60
38,QUÍMICA 3,40
39,BIOLOGIA 3,40
40,COMUNICAÇÃO TÉCNICA,40
41,GESTÃO AMBIENTAL,40
42,IRRIGAÇÃO E DRENAGEM,60
43,ENTOMOLOGIA,80
44,FITOPATOLOGIA 80 h/a,60
45,PLANTAS ESPONTÂNEAS,40
46,AGROENERGIA,40
47,LÍNGUA ESTRANGEIRA MODERNA – ESPANHOL 4 40 h/a,30
48,LÍNGUA ESTRANGEIRA MODERNA – INGLÊS 4 40 h/a,30
49,EDUCAÇÃO FÍSICA 4,40
50,HISTÓRIA 4,40
51,GEOGRAFIA 4,40
52,FILOSOFIA 4,20
53,SOCIOLOGIA 4,20
54,MATEMÁTICA 4,60
55,FÍSICA 4,60
56,QUÍMICA 4,40
57,BIOLOGIA 4,40
58,ESTATÍSTICA,40
59,ORIENTAÇÃO E SUPERVISÃO DE ESTÁGIO 1,40
60,DEFENSIVOS AGRÍCOLAS,40
61,TOPOGRAFIA,60
62,MECANIZAÇÃO AGRÍCOLA,80
63,EDUCAÇÃO FÍSICA 5,40
64,FILOSOFIA 5,20
65,SOCIOLOGIA 5,20
66,MATEMÁTICA 5,60
67,FÍSICA 5,40
68,QUÍMICA 5,40
69,BIOLOGIA 5,40
70,GESTÃO RURAL E EMPREENDEDORISMO,80
71,PRODUÇÃO E TECNOLOGIA DE SEMENTES,40
72,HORTICULTURA 2,80
73,FILOSOFIA 6,20
74,SOCIOLOGIA 6,20
75,MATEMÁTICA 6,60
76,FÍSICA 6,40
77,QUÍMICA 6,40
78,BIOLOGIA 6,40
79,TECNOLOGIAS APLICADAS À AGRICULTURA,40
80,AGROECOLOGIA,40
81,EXTENSÃO RURAL,60
82,"CONSTRUÇÕES RURAIS, ARMAZENAGEM E SECAGEM DE",60
83,FORRAGICULTURA,40
